Time,FS,FE,b1_cx,b1_cy,b1_w,b1_h,b2_cx,b2_cy,b2_w,b2_h,box_cnt,b1_x0,b1_y0,b1_x1,b1_y1,b2_x0,b2_y0,b2_x1,b2_y1
15.02.2011 01:44,92,104,95.5,148.5,21.0,21.0,,,,,1,85.0,138.0,106.0,159.0,,,,
18.02.2011 09:55,107,117,118.0,115.0,13.0,12.0,,,,,1,111.5,109.0,124.5,121.0,,,,
18.02.2011 12:59,103,111,125.0,82.0,25.0,27.0,,,,,1,112.5,68.5,137.5,95.5,,,,
07.09.2011 22:32,82,105,133.5,128.5,17.0,15.0,,,,,1,125.0,121.0,142.0,136.0,,,,
24.09.2011 20:29,90,99,93.0,152.0,18.5,18.0,,,,,1,83.75,143.0,102.25,161.0,,,,
26.09.2011 05:06,129,139,130.0,141.0,20.0,19.0,,,,,1,120.0,131.5,140.0,150.5,,,,
05.03.2012 19:27,89,109,111.0,120.0,13.0,12.0,,,,,1,104.5,114.0,117.5,126.0,,,,
06.03.2012 04:01,95,110,143.0,125.5,13.0,14.0,,,,,1,136.5,118.5,149.5,132.5,,,,
06.03.2012 07:52,82,94,117.0,124.0,16.0,17.0,,,,,1,109.0,115.5,125.0,132.5,,,,
06.03.2012 12:23,106,122,115.5,124.0,21.0,21.5,,,,,1,105.0,113.25,126.0,134.75,,,,
09.03.2012 03:22,88,103,109.0,123.0,15.5,16.0,,,,,1,101.25,115.0,116.75,131.0,,,,
04.07.2012 09:47,112,130,99.5,105.0,13.0,12.0,,,,,1,93.0,99.0,106.0,111.0,,,,
04.07.2012 14:35,88,103,170.0,112.0,18.0,18.5,,,,,1,161.0,102.75,179.0,121.25,,,,
05.07.2012 03:25,92,106,142.0,119.0,13.0,12.0,166.0,120.0,14.0,12.0,2,135.5,113.0,148.5,125.0,159.0,114.0,173.0,126.0
05.07.2012 11:39,89,104,186.0,116.0,18.5,17.0,,,,,1,176.75,107.5,195.25,124.5,,,,
05.07.2012 20:09,87,106,183.0,117.0,18.5,15.0,,,,,1,173.75,109.5,192.25,124.5,,,,
06.07.2012 01:37,82,96,185.5,118.0,19.0,12.0,,,,,1,176.0,112.0,195.0,124.0,,,,
06.07.2012 13:26,84,100,181.0,116.5,20.0,18.0,,,,,1,171.0,107.5,191.0,125.5,,,,
24.10.2013 10:30,89,98,85.0,113.0,14.5,14.0,,,,,1,77.75,106.0,92.25,120.0,,,,
06.11.2013 13:39,86,103,308.0,158.5,46.0,23.0,57.0,112.0,11.5,10.5,2,285.0,147.0,331.0,170.0,51.25,106.75,62.75,117.25
10.11.2013 05:08,87,103,93.0,102.0,14.5,16.0,,,,,1,85.75,94.0,100.25,110.0,,,,
02.02.2014 06:24,105,114,132.0,116.0,10.0,10.5,,,,,1,127.0,110.75,137.0,121.25,,,,
07.02.2014 10:25,89,102,139.0,152.5,17.0,18.0,,,,,1,130.5,143.5,147.5,161.5,,,,
09.11.2014 15:24,88,102,143.0,120.0,15.0,13.0,,,,,1,135.5,113.5,150.5,126.5,,,,
03.01.2015 09:40,89,106,129.0,131.0,18.0,15.0,,,,,1,120.0,123.5,138.0,138.5,,,,
10.03.2015 23:46,95,109,100.5,119.0,11.5,10.0,,,,,1,94.75,114.0,106.25,124.0,,,,
11.03.2015 16:11,90,105,92.0,114.0,15.0,14.5,,,,,1,84.5,106.75,99.5,121.25,,,,
22.08.2015 21:19,89,97,88.5,109.0,23.0,21.0,,,,,1,77.0,98.5,100.0,119.5,,,,
30.09.2015 13:18,85,97,189.0,106.0,11.5,11.5,,,,,1,183.25,100.25,194.75,111.75,,,,
04.09.2017 20:28,86,102,116.0,112.5,12.0,12.0,,,,,1,110.0,106.5,122.0,118.5,,,,
05.09.2017 01:03,86,100,105.5,115.5,10.0,14.5,,,,,1,100.5,108.25,110.5,122.75,,,,
06.09.2017 08:57,99,110,137.0,105.0,7.5,10.0,,,,,1,133.25,100.0,140.75,110.0,,,,
07.09.2017 10:11,86,101,90.0,149.5,15.0,15.5,,,,,1,82.5,141.75,97.5,157.25,,,,
07.09.2017 14:20,99,115,90.0,112.0,18.5,19.0,,,,,1,80.75,102.5,99.25,121.5,,,,
